id_tramite_anterior,descripcion_tramite_anterior,num_orden,id_tramite_siguiente,descripcion_tramite_siguiente
31900,REGISTRO DE SOLICITUD,1,31902,DATOS DEL EXPEDIENTE
31900,REGISTRO DE SOLICITUD,2,31903,INADMISIÓN POR FUERA DE PLAZO
31900,REGISTRO DE SOLICITUD,3,32305,EXPEDIENTE ANULADO
31902,DATOS DEL EXPEDIENTE,1,31912,SUBSANACIÓN DEL EXPEDIENTE
31902,DATOS DEL EXPEDIENTE,2,32301,EXPEDIENTE SUBVENCIÓN COMPLETO
31902,DATOS DEL EXPEDIENTE,3,31905,PROPUESTA DE INADMISIÓN ORDINARIA
31902,DATOS DEL EXPEDIENTE,4,31901,COMUNICACIÓN REGISTRO DE SOLICITUD
31902,DATOS DEL EXPEDIENTE,5,32305,EXPEDIENTE ANULADO
31907,RESOLUCIÓN DE INADMISIÓN ORDINARIA,1,31966,NOTIFICACIÓN DE INADMISIÓN ORDINARIA TOTAL
31908,RESOLUCIÓN POR DESISTIMIENTO TOTAL - A. 68,1,31931,NOTIFICACIÓN DE DESISTIMIENTO TOTAL - A. 68
31927,RESOLUCIÓN DESESTIMATORIA,1,31928,NOTIFICACIÓN DE DESESTIMACIÓN
31952,RESOLUCIÓN POR DESISTIMIENTO TOTAL - A. 94,1,31916,NOTIFICACIÓN DE DESISTIMIENTO TOTAL (ART. 94)
31962,RESOLUCIÓN DESESTIMATORIA (TR. AUDIENCIA),1,31928,NOTIFICACIÓN DE DESESTIMACIÓN
31979,RESOLUCIÓN DE CADUCIDAD,1,31980,NOTIFICACIÓN DE CADUCIDAD
31906,PROPUESTA POR DESISTIMIENTO TOTAL (ART. 68),1,31908,RESOLUCIÓN POR DESISTIMIENTO TOTAL - A. 68
31926,PROPUESTA DE RESOLUCIÓN DESESTIMATORIA,1,31927,RESOLUCIÓN DESESTIMATORIA
31978,PROPUESTA DE RESOLUCIÓN DE CADUCIDAD,1,31979,RESOLUCIÓN DE CADUCIDAD
31916,NOTIFICACIÓN DE DESISTIMIENTO TOTAL (ART. 94),1,31974,PUB. BOCYL RES. DE DESISTIMIENTO  TOTAL (ART. 94)
31920,NOTIFICACIÓN DE RENUNCIA TOTAL SIN REINTEGRO,1,31933,PUBLICACIÓN BOLETÍN RESOLUCIÓN RENUNCIA TOTAL
31928,NOTIFICACIÓN DE DESESTIMACIÓN,1,31929,PUBLICACIÓN BOLETÍN DESESTIMACIÓN DE SUBVENCIÓN
31931,NOTIFICACIÓN DE DESISTIMIENTO TOTAL - A. 68,1,31992,PUB. BOCYL RES. DE DESISTIMIENTO TOTAL (ART. 68)
